Artist,Title,Popularity,Duration_ms,Album,Danceability,Acousticness,Energy,Liveness,Loudness,Valence,Tempo,Speechiness,Artist_Popularity,Artist_Genres,Artist_Followers,Artist_Country,Artist_Song,Song_ID
Gavin DeGraw,SHE HOLDS A KEY,30,230933,Gavin DeGraw,0.256,0.215,0.774,0.0979,-4.591,0.453,150.626,0.0376,62,"neo mellow, pop rock",1269503,Unknown,Gavin DeGraw - SHE HOLDS A KEY,5602
Duffy,WARWICK AVENUE,49,226386,Rockferry,0.493,0.339,0.59,0.121,-5.814,0.502,169.908,0.0392,61,british soul,956058,Unknown,Duffy - WARWICK AVENUE,5603
Kane,WANNA MAKE IT HAPPEN,11,226860,De Kuip live,0.296,0.00373,0.97,0.361,-5.655,0.327,154.422,0.0924,45,"dutch pop, dutch rock",99172,Unknown,Kane - WANNA MAKE IT HAPPEN,5604
Gerard Joling,HET IS NOG NIET VOORBIJ,14,215000,Goud (60 hits 25 jaar Gerard Joling),0.57,0.0153,0.985,0.318,-3.645,0.603,135.063,0.065,50,"dutch pop, kermis, levenslied",88649,Unknown,Gerard Joling - HET IS NOG NIET VOORBIJ,5605
Sharam feat. Daniel Bedingfield,THE ONE,1,225053,Vic Latino Presents Ultra Mix,0.53,0.00718,0.966,0.593,-4.159,0.681,130.031,0.146,47,tribal house,24361,Unknown,Sharam feat. Daniel Bedingfield - THE ONE,5606
Alain Clark,BLOW ME AWAY,26,183173,Live It Out,0.833,0.3,0.662,0.0872,-6.082,0.943,119.968,0.0366,46,"dutch pop, dutch rock",69641,Unknown,Alain Clark - BLOW ME AWAY,5607
Veracocha,CARTE BLANCHE [2008 SINGLE EDIT],8,182891,History Of Dance - The Years 2007-2008,0.605,0.0134,0.932,0.357,-7.896,0.267,134.006,0.0464,46,"dutch trance, trance",15044,Unknown,Veracocha - CARTE BLANCHE [2008 SINGLE EDIT],5608
Playahitty,THE SUMMER IS MAGIC 2008,37,205775,The Summer Is Magic (2008),0.673,0.00354,0.931,0.409,-6.238,0.912,133.94,0.0568,51,"eurodance, hip house",15211,Unknown,Playahitty - THE SUMMER IS MAGIC 2008,5609
One Night Only,JUST FOR TONIGHT,12,258640,Indie Songs With Big Choruses,0.479,8.15E-05,0.938,0.1,-6.435,0.66,142.045,0.0409,30,,23194,Unknown,One Night Only - JUST FOR TONIGHT,5610
Alex Gaudino feat. Shena,WATCH OUT,6,177600,Watch Out (feat. Shèna),0.674,5.83E-05,0.984,0.378,-4.701,0.404,128,0.15,62,"disco house, vocal house",133729,Unknown,Alex Gaudino feat. Shena - WATCH OUT,5611
Jannes,GA DAN,35,225240,Meer dan een vriend,0.695,0.125,0.874,0.194,-5.174,0.948,120.036,0.0313,50,"levenslied, piratenmuziek",94824,Unknown,Jannes - GA DAN,5612
Mêlée,IMITATION,14,213173,Devils & Angels (Standard Version),0.554,0.108,0.9,0.0674,-3.362,0.801,123.219,0.0455,32,piano rock,9057,Unknown,Mêlée - IMITATION,5613
Lil Wayne,LOLLIPOP,64,299333,Tha Carter III (MTV Bonus Version),0.833,0.0606,0.43,0.124,-9.39,0.461,148.074,0.0827,88,"hip hop, new orleans rap, pop rap, rap, trap",15618356,Unknown,Lil Wayne - LOLLIPOP,5614
Leona Lewis,BETTER IN TIME,65,234173,Spirit,0.584,0.512,0.7,0.13,-4.251,0.545,163.95,0.0505,68,"british soul, dance pop, pop, talent show",3622114,Unknown,Leona Lewis - BETTER IN TIME,5615
Jeroen van der Boom,HET IS OVER,25,224920,Het Beste Van,0.477,0.726,0.501,0.155,-7.8,0.1,124.387,0.0317,42,"dutch pop, dutch rock",83702,Unknown,Jeroen van der Boom - HET IS OVER,5616
Kylie,WOW,30,190973,X,0.654,0.151,0.884,0.379,-5.466,0.851,124.072,0.202,75,"australian dance, australian pop, dance pop, eurodance, new wave pop",2092946,Unknown,Kylie - WOW,5617
Madonna & Justin,4 MINUTES,73,189693,Celebration (double disc version),0.753,0.00994,0.931,0.234,-4.922,0.767,113.026,0.0653,81,"dance pop, pop",8191757,Unknown,Madonna & Justin - 4 MINUTES,5618
Freemasons feat. Katherine Ellis,WHEN YOU TOUCH ME,29,256519,Unmixed,0.692,0.00577,0.874,0.263,-3.135,0.83,125.003,0.0383,46,"disco house, diva house, vocal house",58212,Unknown,Freemasons feat. Katherine Ellis - WHEN YOU TOUCH ME,5619
Afrojack & The Partysquad,DROP DOWN (DO MY DANCE),0,183066,Summer Hitz Best Of,0.824,0.021,0.875,0.12,-6.132,0.526,126.969,0.233,74,"big room, dance pop, dutch house, edm, electro house, pop dance",3944069,Unknown,Afrojack & The Partysquad - DROP DOWN (DO MY DANCE),5620
Laurent Wolf,NO STRESS,55,201453,No Stress,0.726,0.154,0.793,0.143,-3.052,0.755,130.003,0.0672,47,"disco house, pop house",46051,Unknown,Laurent Wolf - NO STRESS,5621
Sara Bareilles,LOVE SONG,71,258826,Little Voice,0.583,0.0208,0.786,0.188,-3.142,0.573,123.055,0.0301,65,"acoustic pop, lilith, neo mellow, pop rock, post-teen pop",1955567,Unknown,Sara Bareilles - LOVE SONG,5622
Monique Smit,BLIJF JE VANAVOND,45,200106,Stel Je Voor,0.678,0.235,0.857,0.256,-3.638,0.68,120,0.037,49,"dutch pop, kermis, levenslied, muziek voor kinderen",21999,Unknown,Monique Smit - BLIJF JE VANAVOND,5623
DJ Jurgen,A HIGHER LOVE,9,186698,A Higher Love,0.711,0.00722,0.726,0.251,-6.792,0.856,128.046,0.0435,19,dutch trance,3654,Unknown,DJ Jurgen - A HIGHER LOVE,5624
